"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Nikola Jokic","DEN","PF,C","1,465","705","500","48","87",".521",".819","87","69","2,282","219"
"CJ McCollum","POR","PG,SG","1,455","281","259","34","53",".455",".779","182","68","2,421","123"
"DeMar DeRozan","SAS","SG,SF","1,454","370","377","23","72",".508",".837","9","68","2,327","161"
"De'Aaron Fox","SAC","PG","1,452","266","491","31","105",".486",".726","74","67","2,233","205"
"Jamal Murray","DEN","PG,SG","1,436","286","342","18","74",".459",".879","159","68","2,308","164"
"D'Angelo Russell","MIN","PG,SG","1,423","244","423","19","80",".434",".814","217","65","2,103","210"
"Ja Morant","MEM","PG","1,416","286","542","21","69",".477",".788","82","68","2,287","242"
"Khris Middleton","MIL","SG,SF","1,407","387","281","6","67",".476",".893","165","67","2,148","150"
"Collin Sexton","CLE","PG,SG","1,402","220","222","7","61",".467",".845","108","69","2,340","173"
"Tobias Harris","PHI","SF,PF","1,384","471","207","36","48",".478",".817","140","69","2,378","114"
"Jaylen Brown","BOS","SG,SF","1,372","412","135","27","73",".482",".727","149","67","2,290","149"
"Jimmy Butler","MIA","SG,SF","1,323","400","362","36","115",".467",".838","57","66","2,262","140"
"Nikola Vucevic","ORL","PF,C","1,305","704","238","58","58",".492",".788","100","66","2,084","110"
"Buddy Hield","SAC","SG","1,276","296","191","17","59",".444",".841","235","70","2,099","139"
"Bojan Bogdanovic","UTH","SF,PF","1,249","265","135","4","41",".461",".881","177","66","2,138","139"
"TJ Warren","IND","SF,PF ","1,248","274","103","36","77",".499",".806","98","64","2,138","79"
"Julius Randle","NYK","PF,C","1,247","604","193","23","52",".480",".736","63","67","2,099","185"
"Deandre Ayton","PHO","C","1,246","716","122","88","49",".571",".745","4","66","2,137","130"
"Gordon Hayward","CHA","SG,SF ","1,240","354","272","21","49",".476",".851","110","62","2,109","135"
"Andrew Wiggins","GSW","SG,SF","1,228","297","217","53","55",".445",".724","119","68","2,283","142"
"John Collins","ATL","PF,C","1,210","575","104","74","42",".575",".785","78","65","1,996","114"
"Jrue Holiday","MIL","PG,SG","1,207","310","401","47","98",".469",".728","122","66","2,227","183"
"LaMarcus Aldridge","SAS","PF,C","1,201","479","138","90","39",".501",".824","58","64","2,056","97"
"Kristaps Porzingis","DAL","PF,C ","1,197","538","94","114","40",".435",".801","139","56","1,806","94"
"Kelly Oubre Jr.","GSW","SF,PF","1,186","375","99","51","81",".449",".773","135","66","2,144","94"
"RJ Barrett","NYK","SG,SF","1,182","362","211","22","71",".426",".650","93","68","2,221","173"
"Christian Wood","HOU","PF,C","1,174","551","83","79","46",".536",".751","87","67","1,983","117"
"Coby White","CHI","PG","1,174","269","247","6","62",".413",".805","183","68","2,151","140"
"Domantas Sabonis","IND","PF,C","1,173","785","297","33","44",".544",".725","27","66","2,218","171"
"Bam Adebayo","MIA","PF,C","1,153","692","329","89","75",".568",".726","0","69","2,283","180"
"Ben Simmons","PHI","PG","1,145","549","545","46","123",".579",".616","0","66","2,318","220"
"Evan Fournier","ORL","SG,SF","1,144","184","216","13","69",".450",".813","159","67","2,095","126"
"Lou Williams","LAC","PG,SG","1,139","186","335","11","45",".426",".869","105","67","1,809","163"
"Fred VanVleet","TOR","PG,SG","1,120","241","409","20","107",".403",".842","175","67","2,272","143"
"Andre Drummond","CLE","PF,C","1,116","923","140","100","102",".541",".580","11","69","2,118","216"
"Blake Griffin","DET","PF,C","1,111","391","243","20","35",".447",".767","109","57","1,854","152"
"Victor Oladipo","IND","PG,SG","1,111","306","264","20","85",".426",".793","127","63","1,988","161"
"Mike Conley","UTH","PG","1,108","208","340","10","64",".432",".836","146","63","1,999","124"
"Kyle Lowry","TOR","PG","1,099","312","474","27","89",".413",".841","171","64","2,215","184"
"Chris Paul","PHO","PG","1,090","298","462","12","103",".475",".900","113","64","1,974","152"
